replicate,volume_index,filename,acquisition,slice,normalization_scale,zf_psnr,zf_ssim,zf_nmse,ram_psnr,ram_ssim,ram_nmse,delta_psnr,delta_ssim,delta_nmse
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,2,0.0001850043481681496,25.2949161529541,0.604400098323822,0.03089701198041439,29.998340606689453,0.704637885093689,0.010461019352078438,4.703424453735352,0.10023778676986694,-0.020435992628335953
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,8,0.00018013383669313043,25.282960891723633,0.5820899605751038,0.028008686378598213,28.902835845947266,0.6486974954605103,0.012170408852398396,3.619874954223633,0.0666075348854065,-0.015838277526199818
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,13,9.025100735016167e-05,25.569204330444336,0.4653097093105316,0.07382400333881378,25.69565773010254,0.4685550630092621,0.07170546054840088,0.12645339965820312,0.0032453536987304688,-0.002118542790412903
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,2,0.00018653561710380018,25.526750564575195,0.5790382027626038,0.02234107069671154,28.52911376953125,0.6472030282020569,0.011190967634320259,3.0023632049560547,0.06816482543945312,-0.011150103062391281
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,8,0.0002440566458972171,26.812755584716797,0.644914984703064,0.027935966849327087,30.550294876098633,0.6911295652389526,0.011814337223768234,3.737539291381836,0.04621458053588867,-0.016121629625558853
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,13,0.00015661797078792006,32.2026481628418,0.6600677371025085,0.04282032698392868,32.18077850341797,0.653793454170227,0.04303651303052902,-0.021869659423828125,-0.006274282932281494,0.0002161860466003418
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,2,0.00022220354003366083,25.57415008544922,0.5365431904792786,0.041755665093660355,25.558059692382812,0.535858154296875,0.04191064462065697,-0.01609039306640625,-0.0006850361824035645,0.00015497952699661255
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,6,0.0002386669220868498,26.332056045532227,0.5046470761299133,0.03198673576116562,26.276519775390625,0.5028741955757141,0.032398421317338943,-0.05553627014160156,-0.0017728805541992188,0.0004116855561733246
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,11,0.00010724447929533198,21.366287231445312,0.3040827214717865,0.2227599173784256,21.413402557373047,0.3041980266571045,0.22035636007785797,0.047115325927734375,0.00011530518531799316,-0.002403557300567627
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,2,0.0004567733849398792,26.245407104492188,0.6529208421707153,0.04688378423452377,29.349748611450195,0.7265589833259583,0.022939736023545265,3.104341506958008,0.07363814115524292,-0.023944048210978508
