acquisition,volume,cases,mean_delta_zero_filled_psnr,mean_delta_zero_filled_ssim,mean_delta_zero_filled_nmse,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse,mean_zero_filled_recovery_contrast_recovery_ratio,mean_ram_recovery_contrast_recovery_ratio,mean_zero_filled_recovery_relative_l2_error,mean_ram_recovery_relative_l2_error,mean_zero_filled_text_region_rmse,mean_ram_text_region_rmse,mean_zero_filled_non_text_region_rmse,mean_ram_non_text_region_rmse,mean_zero_filled_recovery_outside_leakage_rms_relative_to_target,mean_ram_recovery_outside_leakage_rms_relative_to_target
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,-0.03465588887532552,-0.0049733320871988935,0.0001718122512102127,-0.06944910685221355,-0.004815200964609782,0.00017269949118296304,0.021966700289871677,0.05167496264394566,0.98158727089564,0.9623515208562216,0.10325353095928828,0.10139371703068416,0.05935723086198171,0.03853063782056173,0.002012515440583229,0.003658495688190063
AXT1,file_brain_AXT1_202_2020181,3,-0.028966903686523438,-0.003895362218221029,0.0003001814087231954,-0.12678909301757812,-0.004276831944783528,0.00033959994713465375,0.03937407817814343,0.10095126515036557,0.9681076208750407,0.9201528628667196,0.10173259923855464,0.1032235821088155,0.05838198959827423,0.029556212325890858,0.003831420714656512,0.00530993581439058
AXT1PRE,file_brain_AXT1PRE_203_6000868,3,-0.03985023498535156,-0.005385299523671468,0.0002311263233423233,-0.15096918741861978,-0.005317846934000651,0.0002383717025319735,0.008921043364370353,0.02778457137539812,0.992664655049642,0.9803023338317871,0.10627630352973938,0.10522671043872833,0.053582643469174705,0.02603796496987343,0.0011998443709065516,0.0019110556071003277
AXT1POST,file_brain_AXT1POST_205_2050067,3,-0.06285730997721355,-0.005280156930287679,0.00026989448815584183,-0.18650436401367188,-0.005072593688964844,0.00026858504861593246,0.00522526333640371,0.013027606988277596,0.9958162903785706,0.9896352092425028,0.1079662616054217,0.1065269336104393,0.04926863561073939,0.024540279060602188,0.0008931601575265328,0.0014328157218794029
AXT1POST,file_brain_AXT1POST_209_6001231,3,-0.04621060689290365,-0.0055267612139383955,0.00031088416775067645,-0.28094228108723956,-0.005190908908843994,0.0003101266920566559,0.00038530800502307533,0.0005772430209880163,0.9996626377105713,0.9994425773620605,0.10402873903512955,0.10252584517002106,0.047250558932622276,0.018458468839526176,0.0001937130194467803,0.00026483641704544425
