replicate,volume_index,filename,acquisition,slice,normalization_scale,zf_psnr,zf_ssim,zf_nmse,ram_psnr,ram_ssim,ram_nmse,delta_psnr,delta_ssim,delta_nmse
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,2,0.0001606384030310437,19.308290481567383,0.3966265916824341,0.1226249635219574,20.886343002319336,0.4707791805267334,0.08526554703712463,1.5780525207519531,0.07415258884429932,-0.037359416484832764
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,8,0.00016497902106493711,20.301307678222656,0.3844243288040161,0.08819782733917236,23.60947036743164,0.45603320002555847,0.04117576777935028,3.3081626892089844,0.07160887122154236,-0.04702205955982208
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,13,6.153406138764694e-05,20.912878036499023,0.2843706011772156,0.2156900316476822,22.386749267578125,0.3098728060722351,0.15361833572387695,1.4738712310791016,0.02550220489501953,-0.06207169592380524
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,2,0.00016171581228263676,20.12120819091797,0.3874492049217224,0.07756363600492477,21.70417022705078,0.4356740713119507,0.05387186259031296,1.5829620361328125,0.04822486639022827,-0.023691773414611816
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,8,0.00021402514539659023,21.271467208862305,0.4509125351905823,0.10006729513406754,25.174766540527344,0.4925708770751953,0.04073448106646538,3.903299331665039,0.04165834188461304,-0.05933281406760216
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,13,0.0001192288618767634,25.412322998046875,0.4656049609184265,0.20449484884738922,26.177757263183594,0.4659285545349121,0.1714506298303604,0.7654342651367188,0.0003235936164855957,-0.03304421901702881
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,2,0.0002102086873492226,20.41594886779785,0.34143927693367004,0.13694168627262115,20.90220832824707,0.3320360779762268,0.12243614345788956,0.48625946044921875,-0.009403198957443237,-0.014505542814731598
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,6,0.00022249785251915455,21.563608169555664,0.3037582337856293,0.09589917212724686,22.284318923950195,0.2912349998950958,0.0812351182103157,0.7207107543945312,-0.012523233890533447,-0.014664053916931152
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,11,6.955671415198594e-05,18.628217697143555,0.10783392935991287,0.41845041513442993,18.658348083496094,0.10538452118635178,0.41555729508399963,0.030130386352539062,-0.002449408173561096,-0.002893120050430298
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,2,0.0002499516704119742,18.053569793701172,0.42208611965179443,0.30917632579803467,20.819278717041016,0.5121020674705505,0.16354429721832275,2.7657089233398438,0.0900159478187561,-0.14563202857971191
