acquisition,volume,cases,mean_sampled_fraction,mean_achieved_acceleration,mean_ram_rotation_equivariance_psnr,mean_ram_rotation_equivariance_nmse,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,0.25,4.0,39.32760409087294,0.0016817990243905572,0.0908966064453125,0.0007561246554056803,-0.0001798141747713089
AXT1,file_brain_AXT1_202_2020181,3,0.25,4.0,40.413600665162186,0.0028761388296312225,0.13024520874023438,-0.00033847490946451825,-0.0005172509700059891
AXT1PRE,file_brain_AXT1PRE_203_6000868,3,0.25,4.0,39.650123050462625,0.0018152061590715211,0.3216667175292969,0.004225035508473714,-0.0004939682160814604
AXT1POST,file_brain_AXT1POST_205_2050067,3,0.25,4.0,40.03397057516264,0.0025175861415615316,0.2907613118489583,0.0020933151245117188,-0.00048509504025181133
AXT1POST,file_brain_AXT1POST_209_6001231,3,0.25,4.0,41.19593041204938,0.0020941365321966495,-0.5231234232584635,-0.0054847995440165205,0.0005723473926385244
