replicate,volume_index,filename,acquisition,slice,normalization_scale,zf_psnr,zf_ssim,zf_nmse,ram_psnr,ram_ssim,ram_nmse,delta_psnr,delta_ssim,delta_nmse
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,2,0.00017843610839918256,22.80265235900879,0.5092289447784424,0.05484572425484657,27.778114318847656,0.5971120595932007,0.017442014068365097,4.975461959838867,0.0878831148147583,-0.037403710186481476
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,8,0.00017620342259760946,22.916706085205078,0.4799058437347412,0.04829674959182739,26.781373977661133,0.5414257645606995,0.01983587257564068,3.8646678924560547,0.06151992082595825,-0.028460877016186714
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,13,8.415506454184651e-05,23.880355834960938,0.36383727192878723,0.10891365259885788,24.27920913696289,0.36874473094940186,0.09935668855905533,0.3988533020019531,0.004907459020614624,-0.009556964039802551
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,2,0.00018099267617799342,23.300121307373047,0.47727108001708984,0.037304993718862534,26.66903305053711,0.5494768023490906,0.017174165695905685,3.3689117431640625,0.07220572233200073,-0.020130828022956848
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,8,0.00023794978915248066,24.47040557861328,0.5493895411491394,0.047906942665576935,28.24811553955078,0.5788364410400391,0.020073706284165382,3.7777099609375,0.029446899890899658,-0.027833236381411552
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,13,0.0001590578758623451,31.019289016723633,0.5702648162841797,0.05623231455683708,30.837398529052734,0.5375766158103943,0.05863744392991066,-0.18189048767089844,-0.0326882004737854,0.002405129373073578
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,2,0.00021357773221097887,23.50798225402832,0.4199427664279938,0.06719426065683365,23.526639938354492,0.42137473821640015,0.06690620630979538,0.018657684326171875,0.001431971788406372,-0.00028805434703826904
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,6,0.000231412413995713,24.32900047302246,0.3786551058292389,0.05073125287890434,24.3133487701416,0.3785983920097351,0.05091443285346031,-0.015651702880859375,-5.671381950378418e-05,0.00018317997455596924
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,11,0.00010506776015972719,19.852672576904297,0.1754935383796692,0.3156448304653168,19.876493453979492,0.1779698133468628,0.31391826272010803,0.023820877075195312,0.0024762749671936035,-0.0017265677452087402
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,2,0.0003788461326621473,21.710573196411133,0.5358722805976868,0.1332005262374878,28.706634521484375,0.6348005533218384,0.026601094752550125,6.996061325073242,0.09892827272415161,-0.10659943148493767
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,8,0.00039250723784789443,25.869600296020508,0.5808418393135071,0.060291167348623276,29.041730880737305,0.6159045100212097,0.029042934998869896,3.172130584716797,0.03506267070770264,-0.03124823234975338
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,13,0.00046920368913561106,26.908477783203125,0.6237610578536987,0.051223862916231155,29.59911346435547,0.6129058003425598,0.02756822109222412,2.6906356811523438,-0.010855257511138916,-0.023655641824007034
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,2,0.00024356806534342468,23.51675033569336,0.5290539860725403,0.10990750789642334,24.796533584594727,0.550444483757019,0.08185569196939468,1.2797832489013672,0.02139049768447876,-0.028051815927028656
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,8,0.0003089801757596433,24.649669647216797,0.5037155747413635,0.0663723573088646,25.317195892333984,0.5077179074287415,0.05691605433821678,0.6675262451171875,0.00400233268737793,-0.009456302970647812
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,13,0.0003213804739061743,25.616979598999023,0.4988192915916443,0.09837378561496735,25.53060531616211,0.4865231215953827,0.10034988820552826,-0.08637428283691406,-0.012296169996261597,0.001976102590560913
