acquisition,volume,cases,zero_filled_vs_cropped_reference.psnr,zero_filled_vs_cropped_reference.ssim,zero_filled_vs_cropped_reference.nmse,cropped_ram_vs_cropped_reference.psnr,cropped_ram_vs_cropped_reference.ssim,cropped_ram_vs_cropped_reference.nmse,original_ram_full_vs_original_reference.psnr,original_ram_full_vs_original_reference.ssim,original_ram_full_vs_original_reference.nmse,original_ram_center_crop_vs_cropped_reference.psnr,original_ram_center_crop_vs_cropped_reference.ssim,original_ram_center_crop_vs_cropped_reference.nmse,delta_original_full_to_cropped_ram.psnr,delta_original_full_to_cropped_ram.ssim,delta_original_full_to_cropped_ram.nmse,delta_original_same_region_to_cropped_ram.psnr,delta_original_same_region_to_cropped_ram.ssim,delta_original_same_region_to_cropped_ram.nmse,crop_equivariance_cropped_ram_vs_original_ram_center_crop.psnr,crop_equivariance_cropped_ram_vs_original_ram_center_crop.ssim,crop_equivariance_cropped_ram_vs_original_ram_center_crop.nmse,rss_cropped_ram_metrics.psnr,rss_cropped_ram_metrics.ssim,rss_cropped_ram_metrics.nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,26.836772918701172,0.7821545203526815,0.02715374653538068,29.528221130371094,0.8418218493461609,0.014646325260400772,32.10281308492025,0.8871767322222391,0.01013009591648976,31.19790204366048,0.8659560680389404,0.010108605027198792,-2.574591954549154,-0.045354882876078285,0.004516229343911012,-1.669680913289388,-0.02413421869277954,0.004537720233201981,30.7080504099528,0.8463182250658671,0.008569257644315561,23.53612454732259,0.4615364968776703,0.0722367571045955
AXT1POST,file_brain_AXT1POST_205_2050067,3,29.028553009033203,0.8334219058354696,0.03322037154187759,34.057254791259766,0.9061904350916544,0.009341899305582047,36.45318730672201,0.9282416105270386,0.00662260502576828,35.56244913736979,0.9168945948282877,0.006585112462441127,-2.3959325154622397,-0.022051175435384113,0.0027192942798137665,-1.5051943461100261,-0.0107041597366333,0.00275678684314092,35.98295211791992,0.9342104395230612,0.004845648615931471,29.474109649658203,0.5806021193663279,0.025098898137609165
AXT1POST,file_brain_AXT1POST_209_6001231,3,27.766333897908527,0.7997153798739115,0.03810141421854496,35.68817647298177,0.9186494946479797,0.006138127918044726,37.65640004475912,0.9331305623054504,0.004795465463151534,36.77148691813151,0.9246862530708313,0.004761936220650871,-1.9682235717773438,-0.014481067657470703,0.0013426624548931916,-1.0833104451497395,-0.0060367584228515625,0.0013761916973938544,39.499610900878906,0.9674510955810547,0.0024457984060669937,32.127902348836265,0.6180199186007181,0.013490797951817513
AXT1PRE,file_brain_AXT1PRE_203_6000868,3,26.24829610188802,0.7879390319188436,0.03617883659899235,31.650702158610027,0.8685080806414286,0.010158039319018522,34.35202280680338,0.9067320028940836,0.006746789750953515,33.473435719807945,0.8913357257843018,0.006692206642280023,-2.7013206481933594,-0.03822392225265503,0.0034112495680650077,-1.8227335611979167,-0.022827645142873127,0.0034658326767385006,33.22240447998047,0.9008675416310629,0.006298333251227935,30.299183527628582,0.6676175793011984,0.013865962624549866
AXT1,file_brain_AXT1_202_2020181,3,27.19839604695638,0.788662870724996,0.06454573820034663,32.74276479085287,0.9026206334431967,0.01808973929534356,35.02004623413086,0.9223584334055582,0.013114165514707565,34.160692850748696,0.9145176410675049,0.013500162400305271,-2.2772814432779946,-0.019737799962361652,0.004975573780635993,-1.4179280598958333,-0.011897007624308268,0.004589576895038287,36.93131637573242,0.9593766530354818,0.005174768002082904,31.05850601196289,0.6816340684890747,0.025483970219890278
