run_id,volume,acquisition,base_seed,arm,slice,normalization_scale,synthetic_noise_added,zf_psnr,zf_ssim,zf_nmse,ram_psnr,ram_ssim,ram_nmse,delta_psnr,delta_ssim,delta_nmse
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,noisy,2,0.0002133853267878294,True,23.616756439208984,0.4211469292640686,0.06553220003843307,25.899667739868164,0.4828376770019531,0.038740374147892,2.2829113006591797,0.06169074773788452,-0.026791825890541077
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,conditioning_only,2,0.0002133853267878294,False,23.616844177246094,0.42115285992622375,0.06553086638450623,25.897258758544922,0.4826965630054474,0.038761839270591736,2.280414581298828,0.06154370307922363,-0.02676902711391449
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,noisy,6,0.00023192788648884743,True,24.278480529785156,0.3733983039855957,0.05132485181093216,24.869802474975586,0.41164472699165344,0.04479146748781204,0.5913219451904297,0.03824642300605774,-0.006533384323120117
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,conditioning_only,6,0.00023192788648884743,False,24.278457641601562,0.37339362502098083,0.05132509768009186,24.869611740112305,0.4116143584251404,0.044793449342250824,0.5911540985107422,0.038220733404159546,-0.006531648337841034
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,noisy,11,0.0001051623621606268,True,19.701932907104492,0.1762012392282486,0.3267929255962372,20.339183807373047,0.23886224627494812,0.2821938395500183,0.6372509002685547,0.06266100704669952,-0.04459908604621887
ram-019,file_brain_AXT1_201_6002725.h5,AXT1,0,conditioning_only,11,0.0001051623621606268,False,19.70197868347168,0.1762068122625351,0.3267894983291626,20.33924674987793,0.2388763427734375,0.2821897864341736,0.63726806640625,0.0626695305109024,-0.044599711894989014
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,noisy,2,0.0002015943464357406,True,20.626609802246094,0.32999709248542786,0.05480605363845825,21.95712661743164,0.36596572399139404,0.040343791246414185,1.3305168151855469,0.035968631505966187,-0.014462262392044067
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,conditioning_only,2,0.0002015943464357406,False,20.62665557861328,0.33000609278678894,0.05480546876788139,21.955101013183594,0.3659820556640625,0.040362611413002014,1.3284454345703125,0.03597596287727356,-0.01444285735487938
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,noisy,6,0.00021399217075668275,True,22.164169311523438,0.34241247177124023,0.06193955987691879,23.179977416992188,0.3639875650405884,0.04902162402868271,1.01580810546875,0.021575093269348145,-0.012917935848236084
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,conditioning_only,6,0.00021399217075668275,False,22.16413688659668,0.3424048125743866,0.06194004416465759,23.180784225463867,0.3639881908893585,0.04901246726512909,1.0166473388671875,0.021583378314971924,-0.012927576899528503
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,noisy,11,0.00011645382619462907,True,20.843589782714844,0.24097412824630737,0.22348593175411224,21.201385498046875,0.2723303437232971,0.2058119773864746,0.35779571533203125,0.031356215476989746,-0.017673954367637634
ram-019,file_brain_AXT1_201_6002736.h5,AXT1,0,conditioning_only,11,0.00011645382619462907,False,20.843460083007812,0.24096070230007172,0.22349277138710022,21.201107025146484,0.2723102569580078,0.20582528412342072,0.3576469421386719,0.031349554657936096,-0.017667487263679504
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,noisy,2,0.0002277489984408021,True,23.086400985717773,0.39625388383865356,0.06232832372188568,25.4940128326416,0.45085111260414124,0.035803407430648804,2.407611846923828,0.05459722876548767,-0.026524916291236877
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,conditioning_only,2,0.0002277489984408021,False,23.086427688598633,0.39625388383865356,0.06232796981930733,25.496448516845703,0.4508495628833771,0.0357833169400692,2.4100208282470703,0.05459567904472351,-0.02654465287923813
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,noisy,8,0.00017946121806744486,True,22.298601150512695,0.28474900126457214,0.05700089782476425,22.687519073486328,0.32898157835006714,0.05211823806166649,0.3889179229736328,0.044232577085494995,-0.004882659763097763
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,conditioning_only,8,0.00017946121806744486,False,22.298564910888672,0.2847481071949005,0.057001348584890366,22.68755340576172,0.32897812128067017,0.05211784690618515,0.3889884948730469,0.04423001408576965,-0.0048835016787052155
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,noisy,13,0.00015467076445929706,True,21.718759536743164,0.22162669897079468,0.23896022140979767,22.146934509277344,0.2611341178417206,0.2165251523256302,0.4281749725341797,0.0395074188709259,-0.02243506908416748
ram-019,file_brain_AXT1_201_6002740.h5,AXT1,0,conditioning_only,13,0.00015467076445929706,False,21.71870994567871,0.22162365913391113,0.2389630228281021,22.14687728881836,0.2611345648765564,0.21652795374393463,0.42816734313964844,0.039510905742645264,-0.02243506908416748
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,noisy,2,0.0002209101221524179,True,22.447650909423828,0.5006145238876343,0.09783755242824554,27.31934356689453,0.5707145929336548,0.03186662495136261,4.871692657470703,0.07010006904602051,-0.06597092747688293
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,conditioning_only,2,0.0002209101221524179,False,22.447662353515625,0.5006096363067627,0.09783729910850525,27.318809509277344,0.5706781148910522,0.03187054768204689,4.871147155761719,0.07006847858428955,-0.06596675142645836
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,noisy,8,0.00020289173698984087,True,23.007354736328125,0.387256920337677,0.04341982305049896,23.816240310668945,0.4063411355018616,0.03604123741388321,0.8088855743408203,0.01908421516418457,-0.007378585636615753
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,conditioning_only,8,0.00020289173698984087,False,23.007341384887695,0.38726386427879333,0.0434199795126915,23.815309524536133,0.40624159574508667,0.03604895621538162,0.8079681396484375,0.018977731466293335,-0.0073710232973098755
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,noisy,13,0.00026489971787668765,True,25.68474769592285,0.44569867849349976,0.06358898431062698,26.00543212890625,0.4282764792442322,0.05906274542212486,0.32068443298339844,-0.017422199249267578,-0.004526238888502121
ram-019,file_brain_AXT1_201_6002759.h5,AXT1,0,conditioning_only,13,0.00026489971787668765,False,25.684715270996094,0.4456880986690521,0.06358947604894638,26.005943298339844,0.4283435642719269,0.05905579775571823,0.32122802734375,-0.017344534397125244,-0.004533678293228149
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,noisy,2,0.00018327108409721404,True,21.277976989746094,0.36942267417907715,0.08288528025150299,21.89906120300293,0.4149065315723419,0.07184044271707535,0.6210842132568359,0.04548385739326477,-0.011044837534427643
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,conditioning_only,2,0.00018327108409721404,False,21.27794647216797,0.369419127702713,0.08288586139678955,21.900861740112305,0.41494232416152954,0.07181066274642944,0.6229152679443359,0.04552319645881653,-0.011075198650360107
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,noisy,8,0.0002165872574551031,True,21.288253784179688,0.33344778418540955,0.08118949085474014,21.54595375061035,0.36651095747947693,0.07651206105947495,0.25769996643066406,0.03306317329406738,-0.004677429795265198
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,conditioning_only,8,0.0002165872574551031,False,21.288259506225586,0.33344924449920654,0.08118940889835358,21.545045852661133,0.36651650071144104,0.07652805745601654,0.2567863464355469,0.0330672562122345,-0.004661351442337036
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,noisy,13,0.00015011028153821826,True,23.336429595947266,0.3000640273094177,0.20241482555866241,23.703899383544922,0.3421643078327179,0.18599247932434082,0.36746978759765625,0.04210028052330017,-0.016422346234321594
ram-019,file_brain_AXT1_201_6002786.h5,AXT1,0,conditioning_only,13,0.00015011028153821826,False,23.33647918701172,0.3000721037387848,0.2024124413728714,23.703853607177734,0.34216392040252686,0.18599440157413483,0.3673744201660156,0.042091816663742065,-0.016418039798736572
