acquisition,volume,slice,normalization_scale,computed_flipped_scale,reference_max_abs_consistency_error,zf_max_abs_consistency_error,mask_max_abs_consistency_error,ram_equivariance_psnr,ram_equivariance_nmse,ram_equivariance_mean_abs_error,original_ram_psnr,flipped_ram_psnr,delta_ram_psnr,original_ram_ssim,flipped_ram_ssim,delta_ram_ssim,original_ram_nmse,flipped_ram_nmse,delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_200_6002462,3,0.00019534636521711946,0.0001953463943209499,0.0,3.5762786865234375e-07,0.0,43.67039694672716,0.0008366350668588284,0.006944312248378992,36.24481201171875,36.17421340942383,-0.07059860229492188,0.9316300749778748,0.9313677549362183,-0.00026232004165649414,0.006308179814368486,0.0064115580171346664,0.00010337820276618004
AXFLAIR,file_brain_AXFLAIR_200_6002462,10,0.0001757517020450905,0.0001757517020450905,0.0,2.384185791015625e-07,0.0,44.249129383888864,0.0004056557855137091,0.0035019153729081154,29.024934768676758,29.141508102416992,0.11657333374023438,0.8887596726417542,0.895519495010376,0.006759822368621826,0.01341188419610262,0.013056665658950806,-0.0003552185371518135
AXFLAIR,file_brain_AXFLAIR_200_6002462,11,0.00018082049791701138,0.00018082049791701138,0.0,3.5762786865234375e-07,0.0,46.031835954641394,0.0003596683198144262,0.002937041223049164,29.801313400268555,29.857614517211914,0.056301116943359375,0.9048283100128174,0.9075145721435547,0.0026862621307373047,0.014665503054857254,0.014476611278951168,-0.00018889177590608597
AXFLAIR,file_brain_AXFLAIR_210_6001526,2,0.00020926485012751073,0.00020926486467942595,0.0,2.980232238769531e-07,0.0,39.75212827771507,0.0019350077342506818,0.010470935143530369,33.03617477416992,33.04370880126953,0.007534027099609375,0.893025815486908,0.8914793133735657,-0.0015465021133422852,0.010243184864521027,0.01022542454302311,-1.7760321497917175e-05
AXFLAIR,file_brain_AXFLAIR_210_6001526,5,0.0002197556896135211,0.0002197556896135211,0.0,2.980232238769531e-07,0.0,40.4623873839632,0.0009878766466890625,0.007113605737686157,32.50874710083008,32.40049362182617,-0.10825347900390625,0.8976669311523438,0.8953593969345093,-0.0023075342178344727,0.007606212981045246,0.0077981892973184586,0.00019197631627321243
AXFLAIR,file_brain_AXFLAIR_210_6001526,11,0.00019027602684218436,0.00019027602684218436,0.0,2.384185791015625e-07,0.0,42.770385497390606,0.001034751309199443,0.003972883336246014,33.84234619140625,33.873191833496094,0.03084564208984375,0.919818103313446,0.9189873933792114,-0.0008307099342346191,0.009657837450504303,0.00958949699997902,-6.834045052528381e-05
AXFLAIR,file_brain_AXFLAIR_201_6002975,4,0.00016663542191963643,0.00016663543647155166,0.0,2.980232238769531e-07,0.0,42.077555144231894,0.0007042952245154793,0.006611684337258339,32.934181213378906,32.949501037597656,0.01531982421875,0.8998971581459045,0.9011214971542358,0.0012243390083312988,0.007511403877288103,0.007484957575798035,-2.6446301490068436e-05
AXFLAIR,file_brain_AXFLAIR_201_6002975,5,0.0001634534273762256,0.00016345341282431036,0.0,2.980232238769531e-07,0.0,42.37205982338974,0.000782158006701675,0.006765370257198811,34.30998992919922,34.05610275268555,-0.2538871765136719,0.9137189984321594,0.9135236740112305,-0.00019532442092895508,0.007044677156955004,0.007468780968338251,0.0004241038113832474
AXFLAIR,file_brain_AXFLAIR_201_6002975,13,0.0002952470676973462,0.00029524703859351575,0.0,3.5762786865234375e-07,0.0,47.14207310741533,0.0011812396315531138,0.003494544420391321,39.1461067199707,39.57772445678711,0.43161773681640625,0.9476845860481262,0.9591647982597351,0.011480212211608887,0.010104497894644737,0.009148556739091873,-0.0009559411555528641
AXFLAIR,file_brain_AXFLAIR_209_6001358,6,0.0001529716537334025,0.00015297166828531772,0.0,3.5762786865234375e-07,0.0,38.87613872411183,0.0012298155562514295,0.008030042983591557,31.19471549987793,31.025039672851562,-0.1696758270263672,0.8708047866821289,0.8598600029945374,-0.010944783687591553,0.008749682456254959,0.009098293259739876,0.0003486108034849167
