replicate,volume_index,filename,acquisition,slice,normalization_scale,zf_psnr,zf_ssim,zf_nmse,ram_psnr,ram_ssim,ram_nmse,delta_psnr,delta_ssim,delta_nmse
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,2,0.00015656754840165377,19.006366729736328,0.38794034719467163,0.13145315647125244,18.689685821533203,0.38528570532798767,0.14139673113822937,-0.316680908203125,-0.00265464186668396,0.009943574666976929
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,8,0.00016111694276332855,20.015228271484375,0.3682531714439392,0.09420327097177505,21.026729583740234,0.38658878207206726,0.07463034242391586,1.0115013122558594,0.018335610628128052,-0.019572928547859192
seed-0,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,13,6.10327952017542e-05,20.542299270629883,0.2728915512561798,0.23490265011787415,20.74336814880371,0.27914828062057495,0.224275141954422,0.20106887817382812,0.006256729364395142,-0.010627508163452148
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,2,0.0001638382236706093,19.590503692626953,0.36476653814315796,0.0876452848315239,19.55132484436035,0.35460615158081055,0.08843954652547836,-0.03917884826660156,-0.010160386562347412,0.0007942616939544678
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,8,0.00021883053705096245,20.860517501831055,0.4165797233581543,0.10999860614538193,22.524187088012695,0.4282638132572174,0.07499291002750397,1.6636695861816406,0.01168408989906311,-0.03500569611787796
seed-0,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,13,0.00011603334860410541,24.83225440979004,0.4226100444793701,0.23371641337871552,25.56635856628418,0.4254104197025299,0.19736900925636292,0.7341041564941406,0.00280037522315979,-0.0363474041223526
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,2,0.00020406687690410763,19.98794937133789,0.33527183532714844,0.1511247754096985,19.379085540771484,0.3060604929924011,0.17386893928050995,-0.6088638305664062,-0.029211342334747314,0.022744163870811462
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,6,0.00021050049690529704,21.006290435791016,0.2916507422924042,0.10903016477823257,22.05276870727539,0.2912781536579132,0.08568380028009415,1.046478271484375,-0.0003725886344909668,-0.023346364498138428
seed-0,2,file_brain_AXT1_201_6002725.h5,AXT1,11,5.8726000133901834e-05,18.31547737121582,0.10592574626207352,0.4496951103210449,18.349430084228516,0.10977067798376083,0.4461929500102997,0.03395271301269531,0.003844931721687317,-0.0035021603107452393
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,2,0.00023551784397568554,17.13298797607422,0.41524383425712585,0.3821770250797272,16.83206558227539,0.4047238826751709,0.4095970094203949,-0.3009223937988281,-0.010519951581954956,0.027419984340667725
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,8,0.00025752760120667517,21.55117416381836,0.44793421030044556,0.16296568512916565,21.4121036529541,0.4286424219608307,0.16826869547367096,-0.1390705108642578,-0.019291788339614868,0.00530301034450531
seed-0,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,13,0.00033310946309939027,20.370410919189453,0.44015559554100037,0.2308230698108673,20.917991638183594,0.43057265877723694,0.20347972214221954,0.5475807189941406,-0.009582936763763428,-0.027343347668647766
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,2,0.00020481688261497766,20.323585510253906,0.4375603497028351,0.2292681634426117,19.8264217376709,0.3934388756752014,0.2570752203464508,-0.4971637725830078,-0.04412147402763367,0.02780705690383911
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,8,0.0002604398468974978,21.45553970336914,0.4065681993961334,0.1384841650724411,21.67789077758789,0.3924218714237213,0.13157254457473755,0.22235107421875,-0.01414632797241211,-0.006911620497703552
seed-0,4,file_brain_AXT1PRE_200_6002079.h5,AXT1PRE,13,0.0001787173532648012,19.97787857055664,0.36730512976646423,0.3604039251804352,19.350454330444336,0.33767157793045044,0.4164202809333801,-0.6274242401123047,-0.029633551836013794,0.056016355752944946
seed-1,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,2,0.00015872034418862313,19.07503890991211,0.38082435727119446,0.12939104437828064,19.932682037353516,0.3958946168422699,0.10620374977588654,0.8576431274414062,0.01507025957107544,-0.023187294602394104
seed-1,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,8,0.00016186889843083918,20.054935455322266,0.3587338924407959,0.09334585070610046,21.263080596923828,0.3648291826248169,0.07067741453647614,1.2081451416015625,0.006095290184020996,-0.02266843616962433
seed-1,0,file_brain_AXFLAIR_200_6002462.h5,AXFLAIR,13,6.132086855359375e-05,20.720239639282227,0.25819990038871765,0.22547276318073273,21.834346771240234,0.2594960033893585,0.17445498704910278,1.1141071319580078,0.0012961030006408691,-0.051017776131629944
seed-1,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,2,0.00016393720579799265,19.601696014404297,0.36649370193481445,0.08741971105337143,19.479475021362305,0.35452598333358765,0.08991486579179764,-0.12222099304199219,-0.011967718601226807,0.0024951547384262085
seed-1,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,8,0.0002188359503634274,20.87987518310547,0.4198954403400421,0.10950947552919388,22.74887466430664,0.4335758090019226,0.07121171057224274,1.8689994812011719,0.013680368661880493,-0.03829776495695114
seed-1,1,file_brain_AXFLAIR_200_6002471.h5,AXFLAIR,13,0.00011595676915021613,24.84478759765625,0.42960941791534424,0.2330428808927536,25.422279357910156,0.4281251132488251,0.20402659475803375,0.5774917602539062,-0.001484304666519165,-0.02901628613471985
seed-1,2,file_brain_AXT1_201_6002725.h5,AXT1,2,0.00020914092601742595,20.147199630737305,0.34547027945518494,0.14568357169628143,20.336549758911133,0.33595404028892517,0.13946831226348877,0.18935012817382812,-0.009516239166259766,-0.006215259432792664
seed-1,2,file_brain_AXT1_201_6002725.h5,AXT1,6,0.0002113594237016514,21.299394607543945,0.30957189202308655,0.10191453993320465,22.571983337402344,0.3138369619846344,0.07602865993976593,1.2725887298583984,0.0042650699615478516,-0.02588587999343872
seed-1,2,file_brain_AXT1_201_6002725.h5,AXT1,11,6.183759251143783e-05,18.637516021728516,0.12061554938554764,0.41755566000938416,18.74069595336914,0.12387430667877197,0.40775224566459656,0.103179931640625,0.0032587572932243347,-0.009803414344787598
seed-1,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,2,0.00023570925986859947,17.115140914916992,0.41687169671058655,0.38375067710876465,16.75830841064453,0.38578909635543823,0.4166127145290375,-0.35683250427246094,-0.031082600355148315,0.03286203742027283
seed-1,3,file_brain_AXT1POST_200_6001976.h5,AXT1POST,8,0.00025764424935914576,21.529626846313477,0.45043981075286865,0.16377627849578857,21.279035568237305,0.4323962330818176,0.17350426316261292,-0.2505912780761719,-0.018043577671051025,0.00972798466682434
