acquisition,volume,cases,mean_delta_zero_filled_psnr,mean_delta_zero_filled_ssim,mean_delta_zero_filled_nmse,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse,mean_zero_filled_recovery_contrast_recovery_ratio,mean_ram_recovery_contrast_recovery_ratio,mean_zero_filled_recovery_relative_l2_error,mean_ram_recovery_relative_l2_error,mean_zero_filled_text_region_rmse,mean_ram_text_region_rmse,mean_zero_filled_non_text_region_rmse,mean_ram_non_text_region_rmse,mean_zero_filled_recovery_outside_leakage_rms_relative_to_target,mean_ram_recovery_outside_leakage_rms_relative_to_target
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,-0.027086893717447918,-0.001685341199239095,0.00011742735902468364,-0.04165077209472656,-0.0015149712562561035,0.00010927518208821614,0.374815644909673,0.48598639610796385,0.6427434186140696,0.554953912893931,0.11601828287045161,0.08121097832918167,0.05925631647308668,0.03848756725589434,0.012078384791190425,0.011083174729719758
AXT1,file_brain_AXT1_202_2020181,3,-0.012753804524739584,-0.0002625385920206706,3.947317600250244e-05,-0.05960845947265625,-0.000667273998260498,0.00012173410505056381,0.4660388046057286,0.5148946846233559,0.578839898109436,0.5332947969436646,0.11665534476439159,0.07848127683003743,0.05822430675228437,0.02950579859316349,0.01588085511078437,0.015851596370339394
AXT1PRE,file_brain_AXT1PRE_203_6000868,3,-0.01919237772623698,-0.0010132193565368652,8.291564881801605e-05,-0.11756261189778645,-0.0020098090171813965,0.00017131026834249496,0.26986395998782664,0.4880980115526505,0.7772336999575297,0.6039561827977499,0.11091605077187221,0.06819728016853333,0.05344924951593081,0.026200557127594948,0.011617538829644522,0.01851315951595704
AXT1POST,file_brain_AXT1POST_205_2050067,3,-0.045621236165364586,-0.0019156932830810547,0.00011578171203533809,-0.11580912272135417,-0.0020838379859924316,0.00014280807226896286,0.2743607418204253,0.4176326738904174,0.7614033818244934,0.6473036706447601,0.10490190486113231,0.07390881702303886,0.04917582497000694,0.02454277438422044,0.010504861827939749,0.010087519263227781
AXT1POST,file_brain_AXT1POST_209_6001231,3,-0.022909164428710938,-0.0012050668398539226,0.00011461103955904643,-0.1241594950358073,-0.0012422998746236165,0.00012444937601685524,0.3306553573118942,0.4961025381083548,0.7158428629239401,0.5596742331981659,0.0879608045021693,0.06299218783775966,0.04719122499227524,0.018479085216919582,0.012380057945847511,0.0134936748072505
