acquisition,volumes,cases,mean_delta_ram_psnr,bootstrap_95_ci_delta_ram_psnr,mean_delta_ram_ssim,bootstrap_95_ci_delta_ram_ssim,mean_delta_ram_nmse,bootstrap_95_ci_delta_ram_nmse
AXFLAIR,6,18,-0.1034910413953993,"[-0.15847916073269314, -0.04507679409450954]",-0.0021205941836039224,"[-0.0035735103819105364, -0.0006109707885318333]",0.00020913109700712893,"[0.0001019226231922706, 0.0003238518774095509]"
AXT1,2,6,-0.023607889811197914,"[-0.06756210327148438, 0.020346323649088543]",-0.0008493860562642415,"[-0.003029028574625651, 0.001330256462097168]",5.5636822556455926e-05,"[-3.3198390156030655e-05, 0.0001444720352689425]"
AXT1PRE,5,15,-0.5013802846272787,"[-0.7574115753173828, -0.2558789571126302]",-0.010956211884816488,"[-0.019662439823150635, -0.0022499839464823405]",0.0008276479939619701,"[0.00038499472041924796, 0.0012671832616130512]"
AXT1POST,17,51,-0.13898512896369486,"[-0.22697269308800788, -0.07171815236409507]",-0.0012819451444289263,"[-0.0032751290237202366, 0.0003385235865910846]",0.0002393134157447254,"[0.00012366324024019288, 0.0003833722449866507]"
