acquisition,volume,cases,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,-0.22978909810384116,-0.0064409176508585615,0.00047628053774436313
AXT1,file_brain_AXT1_202_2020181,3,0.044147491455078125,0.0018062591552734375,-0.00013178804268439612
AXT1PRE,file_brain_AXT1PRE_203_6000868,3,-1.2344195048014324,-0.028128127257029217,0.0021954094991087914
AXT1POST,file_brain_AXT1POST_205_2050067,3,-0.33922449747721356,-0.0023546616236368814,0.0005534021183848381
AXT1POST,file_brain_AXT1POST_209_6001231,3,-0.31052398681640625,0.0017625292142232258,0.00032627877468864125
